event_id,match_id,season_id,team_id,team_name,player_id,player_name,period,minute,second,play_pattern,location_x,location_y,distance_to_goal,angle_to_goal,n_teammates_in_frame,n_opponents_in_frame,keeper_x,keeper_y,under_pressure,first_time,open_goal,aerial_won,body_part_Head,body_part_Left Foot,body_part_Other,body_part_Right Foot,technique_Backheel,technique_Diving Header,technique_Half Volley,technique_Lob,technique_Normal,technique_Overhead Kick,technique_Volley,shot_type_Corner,shot_type_Free Kick,shot_type_Open Play,shot_type_Penalty
9d2b23a7-0fde-45f1-8b6e-58fc9da4aab5,8650,3,782,Belgium,3089,Kevin De Bruyne,1,1,34,From Goal Kick,-1.1538461538461537,0.773286467486819,1.0112900596940098,-0.3936247809779677,-0.3333333333333333,-0.5,-0.13333333333333522,0.37037037037036996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ff6fee87-0f6b-461e-a5fd-e5032aa19564,8650,3,781,Brazil,3295,Thiago Emiliano da Silva,1,7,12,From Corner,0.6923076923076923,-0.07029876977152899,-0.9671783830186127,0.21431807770052583,-0.3333333333333333,-0.5,-0.13333333333333522,-0.7407407407407399,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ebeaf37c-a1be-46a4-b3bb-ae4779458734,8650,3,782,Belgium,3621,Eden Hazard,1,7,32,Regular Play,0.0,-0.632688927943761,-0.08590603649477933,0.6203176529873696,-1.0,-0.5,0.5333333333333314,-0.37037037037036996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0f142c55-8a4a-4af1-b57b-e8eba2491c4b,8650,3,782,Belgium,4831,Nacer Chadli,1,7,35,Regular Play,-1.0769230769230769,-0.773286467486819,0.940073506415208,0.4064248510070053,-0.3333333333333333,0.5,0.5333333333333314,0.37037037037036996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06ffa199-3887-4696-b954-5ba6376cbce6,8650,3,781,Brazil,5542,José Paulo Bezzera Maciel Júnior,1,9,12,Regular Play,0.23076923076923078,0.42179261862917394,-0.39991251161815333,-0.54215520135272,-0.6666666666666666,0.0,-0.13333333333333522,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91337d94-d6b5-499c-9883-5395f2048838,8650,3,781,Brazil,5542,José Paulo Bezzera Maciel Júnior,1,9,50,From Corner,0.38461538461538464,-0.21089630931458697,-0.632220046894604,0.3493338977320897,-0.3333333333333333,0.0,0.5333333333333314,0.37037037037036996,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44ec04e4-1a9a-4aaf-a8a5-04cb997a203f,8650,3,782,Belgium,3296,Marouane Fellaini-Bakkioui,1,12,5,From Throw In,-0.6153846153846154,-0.14059753954305798,0.32993974818586086,0.09843206586909425,-0.6666666666666666,-0.5,0.5333333333333314,0.37037037037036996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d0f5fc00-567c-4db8-b721-05c1270b4ab0,8650,3,781,Brazil,3202,Gabriel Fernando de Jesus,1,14,38,Regular Play,0.6923076923076923,-0.21089630931458697,-0.911303890078477,0.5867491069097641,-0.6666666666666666,-0.5,-0.13333333333333522,-1.11111111111111,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28749d5b-5e06-4944-8bc8-09d630e4c393,8650,3,781,Brazil,3501,Philippe Coutinho Correia,1,18,53,Regular Play,-0.7692307692307693,-0.49209138840070293,0.5520291587855977,0.30812348562711944,0.0,0.0,-0.13333333333333522,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c1e841bc-2074-4ba0-a31b-e3df9120edc1,8650,3,781,Brazil,5552,Marcelo Vieira da Silva Júnior,1,25,19,From Throw In,-0.5384615384615384,-1.546572934973638,0.965310555432259,0.8779744987416213,-0.3333333333333333,0.0,-0.13333333333333522,-0.7407407407407399,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8291a8c4-c4b5-4763-af68-fe0ff06b1224,8650,3,781,Brazil,3054,Fernando Luiz Roza,1,29,27,From Free Kick,-0.23076923076923078,0.14059753954305798,-0.049727334785064026,-0.12714835651105655,0.3333333333333333,1.0,0.5333333333333314,-0.37037037037036996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
