event_id,match_id,season_id,team_id,team_name,player_id,player_name,period,minute,second,play_pattern,location_x,location_y,distance_to_goal,angle_to_goal,n_teammates_in_frame,n_opponents_in_frame,keeper_x,keeper_y,under_pressure,first_time,open_goal,aerial_won,body_part_Head,body_part_Left Foot,body_part_Other,body_part_Right Foot,technique_Backheel,technique_Diving Header,technique_Half Volley,technique_Lob,technique_Normal,technique_Overhead Kick,technique_Volley,shot_type_Corner,shot_type_Free Kick,shot_type_Open Play,shot_type_Penalty
9d2b23a7-0fde-45f1-8b6e-58fc9da4aab5,8650,3,782,Belgium,3089,Kevin De Bruyne,1,1,34,From Goal Kick,91.0,51.0,31.016124838541646,-0.3625442372645076,4,8,118.0,41.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
ff6fee87-0f6b-461e-a5fd-e5032aa19564,8650,3,781,Brazil,3295,Thiago Emiliano da Silva,1,7,12,From Corner,115.0,39.0,5.0990195135927845,0.1973955598498807,4,8,118.0,38.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
ebeaf37c-a1be-46a4-b3bb-ae4779458734,8650,3,782,Belgium,3621,Eden Hazard,1,7,32,Regular Play,106.0,31.0,16.64331697709324,0.5713374798336268,2,8,119.0,39.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
0f142c55-8a4a-4af1-b57b-e8eba2491c4b,8650,3,782,Belgium,4831,Nacer Chadli,1,7,35,Regular Play,92.0,29.0,30.083217912982647,0.3743336160075839,4,10,119.0,41.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
06ffa199-3887-4696-b954-5ba6376cbce6,8650,3,781,Brazil,5542,José Paulo Bezzera Maciel Júnior,1,9,12,Regular Play,109.0,46.0,12.529964086141668,-0.4993467216801301,3,9,118.0,40.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
91337d94-d6b5-499c-9883-5395f2048838,8650,3,781,Brazil,5542,José Paulo Bezzera Maciel Júnior,1,9,50,From Corner,111.0,37.0,9.486832980505138,0.3217505543966422,4,9,119.0,41.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
44ec04e4-1a9a-4aaf-a8a5-04cb997a203f,8650,3,782,Belgium,3296,Marouane Fellaini-Bakkioui,1,12,5,From Throw In,98.0,38.0,22.09072203437452,0.0906598872007451,3,8,119.0,41.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
d0f5fc00-567c-4db8-b721-05c1270b4ab0,8650,3,781,Brazil,3202,Gabriel Fernando de Jesus,1,14,38,Regular Play,115.0,37.0,5.830951894845301,0.5404195002705842,3,8,118.0,37.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
28749d5b-5e06-4944-8bc8-09d630e4c393,8650,3,781,Brazil,3501,Philippe Coutinho Correia,1,18,53,Regular Play,96.0,33.0,25.0,0.2837941092083278,5,9,118.0,40.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
c1e841bc-2074-4ba0-a31b-e3df9120edc1,8650,3,781,Brazil,5552,Marcelo Vieira da Silva Júnior,1,25,19,From Throw In,99.0,18.0,30.4138126514911,0.8086497862079112,4,9,118.0,38.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
8291a8c4-c4b5-4763-af68-fe0ff06b1224,8650,3,781,Brazil,3054,Fernando Luiz Roza,1,29,27,From Free Kick,103.0,42.0,17.11724276862369,-0.1171087445668642,6,11,119.0,39.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
9c96de82-f1d1-462e-89c5-2592ccd9474f,8650,3,781,Brazil,4320,Neymar da Silva Santos Junior,1,29,35,From Free Kick,96.0,20.0,31.240998703626616,0.6947382761967031,6,11,118.0,40.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
ac8c6b39-5c99-4888-a127-771b1f8ffb90,8650,3,782,Belgium,3089,Kevin De Bruyne,1,30,48,Regular Play,102.0,54.0,22.80350850198276,-0.6610431688506869,4,6,118.0,42.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
988bcc30-6cdf-4cc2-aaeb-4fdb283f52b9,8650,3,781,Brazil,3202,Gabriel Fernando de Jesus,1,35,4,Regular Play,110.0,45.0,11.180339887498947,-0.4636476090008061,3,8,118.0,39.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
50c2130c-0b88-4adb-bcf3-151d0359785e,8650,3,781,Brazil,3501,Philippe Coutinho Correia,1,36,36,From Corner,98.0,21.0,29.068883707497267,0.712357598094329,6,10,120.0,39.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
49b10b55-3be4-40e1-9e90-5e8c1d525430,8650,3,782,Belgium,3089,Kevin De Bruyne,1,40,36,From Free Kick,99.0,20.0,29.0,0.7610127542247298,7,11,119.0,41.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
dad9e7d3-5d77-44f1-abaf-b888b548c0b1,8650,3,782,Belgium,3101,Vincent Kompany,1,41,16,From Corner,115.0,32.0,9.433981132056603,1.012197011451334,5,11,120.0,39.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
7ad1c70f-45be-4af7-867c-836874972c57,8650,3,781,Brazil,3501,Philippe Coutinho Correia,2,51,42,From Throw In,97.0,27.0,26.419689627245813,0.5144513130590278,4,9,118.0,40.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
e28f2341-8a5f-4a13-b930-248a56f810f8,8650,3,781,Brazil,5542,José Paulo Bezzera Maciel Júnior,2,54,2,Regular Play,117.0,51.0,11.40175425099138,-1.3045442776439713,2,5,118.0,47.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
b550cc56-134d-4460-908d-ccda6b6b9899,8650,3,782,Belgium,3621,Eden Hazard,2,61,15,From Counter,108.0,27.0,17.69180601295413,0.8253768505207384,2,5,116.0,37.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
abf2caba-6ade-4b58-be69-e812b86c1bcc,8650,3,781,Brazil,5837,Douglas Costa de Souza,2,61,47,Regular Play,112.0,58.0,19.697715603592208,-1.1525719972156676,4,8,117.0,43.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
41e1b1d7-a410-4b7d-8585-3675adede641,8650,3,781,Brazil,3501,Philippe Coutinho Correia,2,63,0,Regular Play,98.0,36.0,22.360679774997894,0.1798534997924782,4,9,118.0,41.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
