player_id,player_name,primary_team,competitions_played,n_matches_played,total_minutes_played,primary_position
3339,Asmir Begović,Chelsea,Premier League,17,1472.0,Goalkeeper
5594,Branislav Ivanović,Chelsea,Premier League,33,3057.0,Right Back
3456,Kurt Happy Zouma,Chelsea,Premier League,23,2013.0,Right Center Back
3645,Gary Cahill,Chelsea,Premier League,23,2061.0,Right Center Back
3957,César Azpilicueta Tanco,Chelsea,Premier League,37,3351.0,Left Back
3478,Francesc Fàbregas i Soler,Chelsea,Premier League,37,3030.0,Right Defensive Midfield
3381,Nemanja Matić,Chelsea,Premier League,33,2510.0,Left Defensive Midfield
3958,Pedro Eliezer Rodríguez Ledesma,Chelsea,Premier League,29,2105.0,Left Wing
40122,Oscar dos Santos Emboaba Júnior,Chelsea,Premier League,27,1839.0,Center Attacking Midfield
3621,Eden Hazard,Chelsea,Premier League,31,2302.0,Left Wing
5198,Diego da Silva Costa,Chelsea,Premier League,28,2468.0,Center Forward
3461,Petr Čech,Arsenal,Premier League,34,3187.0,Goalkeeper
3511,Héctor Bellerín Moruno,Arsenal,Premier League,36,3374.0,Right Back
6746,Gabriel Armando de Abreu,Arsenal,Premier League,21,1838.0,Right Center Back
3394,Laurent Koscielny,Arsenal,Premier League,33,2962.0,Left Center Back
3498,Ignacio Monreal Eraso,Arsenal,Premier League,37,3387.0,Left Back
3437,Francis Joseph Coquelin,Arsenal,Premier League,26,1702.0,Left Defensive Midfield
11386,Santiago Cazorla González,Arsenal,Premier League,15,1332.0,Left Defensive Midfield
3517,Aaron Ramsey,Arsenal,Premier League,31,2732.0,Left Defensive Midfield
3496,Mesut Özil,Arsenal,Premier League,35,3125.0,Center Attacking Midfield
3385,Alexis Alejandro Sánchez Sánchez,Arsenal,Premier League,30,2510.0,Left Wing
3668,Theo Walcott,Arsenal,Premier League,28,1430.0,Left Wing
3525,Alex Oxlade-Chamberlain,Arsenal,Premier League,22,982.0,Right Wing
3604,Olivier Giroud,Arsenal,Premier League,38,2541.0,Center Forward
5475,John Michael Nchekwube Obinna,Chelsea,Premier League,25,1879.0,Right Defensive Midfield
12608,Bradley Guzan,Aston Villa,Premier League,28,2646.0,Goalkeeper
9642,Alan Hutton,Aston Villa,Premier League,28,2451.0,Right Back
24380,Tetchi Jores Charlemagne Ulrich Okore,Aston Villa,Premier League,12,1127.0,Right Center Back
20285,Joleon Lescott,Aston Villa,Premier League,32,2933.0,Left Center Back
9533,Leandro Bacuna,Aston Villa,Premier League,31,2518.0,Right Back
