event_id,match_id,season_id,team_id,team_name,player_id,player_name,period,minute,second,play_pattern,outcome,statsbomb_xg,end_location_x,end_location_y
9d2b23a7-0fde-45f1-8b6e-58fc9da4aab5,8650,3,782,Belgium,3089,Kevin De Bruyne,1,1,34,From Goal Kick,Off T,0.020460658,120.0,34.8
ff6fee87-0f6b-461e-a5fd-e5032aa19564,8650,3,781,Brazil,3295,Thiago Emiliano da Silva,1,7,12,From Corner,Post,0.27402094,120.0,35.8
ebeaf37c-a1be-46a4-b3bb-ae4779458734,8650,3,782,Belgium,3621,Eden Hazard,1,7,32,Regular Play,Blocked,0.06590014,109.0,31.0
0f142c55-8a4a-4af1-b57b-e8eba2491c4b,8650,3,782,Belgium,4831,Nacer Chadli,1,7,35,Regular Play,Off T,0.022908047,120.0,34.4
06ffa199-3887-4696-b954-5ba6376cbce6,8650,3,781,Brazil,5542,José Paulo Bezzera Maciel Júnior,1,9,12,Regular Play,Blocked,0.17421605,111.0,45.0
91337d94-d6b5-499c-9883-5395f2048838,8650,3,781,Brazil,5542,José Paulo Bezzera Maciel Júnior,1,9,50,From Corner,Wayward,0.20371178,115.0,39.0
44ec04e4-1a9a-4aaf-a8a5-04cb997a203f,8650,3,782,Belgium,3296,Marouane Fellaini-Bakkioui,1,12,5,From Throw In,Blocked,0.078730114,101.0,39.0
d0f5fc00-567c-4db8-b721-05c1270b4ab0,8650,3,781,Brazil,3202,Gabriel Fernando de Jesus,1,14,38,Regular Play,Blocked,0.27625608,116.0,38.0
28749d5b-5e06-4944-8bc8-09d630e4c393,8650,3,781,Brazil,3501,Philippe Coutinho Correia,1,18,53,Regular Play,Saved,0.06166237,119.0,39.3
c1e841bc-2074-4ba0-a31b-e3df9120edc1,8650,3,781,Brazil,5552,Marcelo Vieira da Silva Júnior,1,25,19,From Throw In,Saved,0.011753061,117.0,37.6
8291a8c4-c4b5-4763-af68-fe0ff06b1224,8650,3,781,Brazil,3054,Fernando Luiz Roza,1,29,27,From Free Kick,Blocked,0.06566521,104.0,44.0
9c96de82-f1d1-462e-89c5-2592ccd9474f,8650,3,781,Brazil,4320,Neymar da Silva Santos Junior,1,29,35,From Free Kick,Blocked,0.009290484,98.0,26.0
ac8c6b39-5c99-4888-a127-771b1f8ffb90,8650,3,782,Belgium,3089,Kevin De Bruyne,1,30,48,Regular Play,Goal,0.036171924,120.0,36.6
988bcc30-6cdf-4cc2-aaeb-4fdb283f52b9,8650,3,781,Brazil,3202,Gabriel Fernando de Jesus,1,35,4,Regular Play,Off T,0.24829954,120.0,45.8
50c2130c-0b88-4adb-bcf3-151d0359785e,8650,3,781,Brazil,3501,Philippe Coutinho Correia,1,36,36,From Corner,Saved,0.010265937,118.0,41.3
49b10b55-3be4-40e1-9e90-5e8c1d525430,8650,3,782,Belgium,3089,Kevin De Bruyne,1,40,36,From Free Kick,Saved,0.013607446,120.0,37.8
dad9e7d3-5d77-44f1-abaf-b888b548c0b1,8650,3,782,Belgium,3101,Vincent Kompany,1,41,16,From Corner,Saved,0.05695575,120.0,36.2
7ad1c70f-45be-4af7-867c-836874972c57,8650,3,781,Brazil,3501,Philippe Coutinho Correia,2,51,42,From Throw In,Blocked,0.032326028,101.0,31.0
e28f2341-8a5f-4a13-b930-248a56f810f8,8650,3,781,Brazil,5542,José Paulo Bezzera Maciel Júnior,2,54,2,Regular Play,Saved,0.035845775,117.0,42.6
b550cc56-134d-4460-908d-ccda6b6b9899,8650,3,782,Belgium,3621,Eden Hazard,2,61,15,From Counter,Off T,0.110522054,120.0,45.6
abf2caba-6ade-4b58-be69-e812b86c1bcc,8650,3,781,Brazil,5837,Douglas Costa de Souza,2,61,47,Regular Play,Saved,0.011885792,117.0,40.3
41e1b1d7-a410-4b7d-8585-3675adede641,8650,3,781,Brazil,3501,Philippe Coutinho Correia,2,63,0,Regular Play,Blocked,0.041887954,98.0,39.0
3279d551-1101-48c8-9a30-5bf8890ac46a,8650,3,781,Brazil,5837,Douglas Costa de Souza,2,69,23,Regular Play,Blocked,0.0066976612,103.0,47.0
09ad21d2-3877-4689-b80f-692db678e99a,8650,3,781,Brazil,5837,Douglas Costa de Souza,2,70,52,From Free Kick,Saved,0.02142523,117.0,40.9
4aa201db-54ad-4feb-9b29-d352c4bafb75,8650,3,781,Brazil,5837,Douglas Costa de Souza,2,74,27,Regular Play,Saved,0.014297066,117.0,39.7
b695d557-7cb4-4e92-8a42-daf2aa6ec9c2,8650,3,781,Brazil,4320,Neymar da Silva Santos Junior,2,74,28,From Counter,Blocked,0.1545206,114.0,43.0
449f1129-de28-45c2-8beb-7ba0701b1950,8650,3,781,Brazil,5553,Renato Soares de Oliveira Augusto,2,75,20,Regular Play,Goal,0.22554597,120.0,43.8
c3b233d0-1b41-41ef-86ed-46882d9fe78d,8650,3,781,Brazil,3535,Roberto Firmino Barbosa de Oliveira,2,77,46,Regular Play,Off T,0.080149576,120.0,35.2
318c0fe3-bfbd-476f-9899-e26692c84c46,8650,3,781,Brazil,5553,Renato Soares de Oliveira Augusto,2,80,1,From Counter,Off T,0.14648527,120.0,34.0
78687033-cad6-4ae8-a24e-5c2214bf4840,8650,3,781,Brazil,3501,Philippe Coutinho Correia,2,83,26,Regular Play,Off T,0.14369768,120.0,46.5
c707713d-21cf-4bd2-b031-35ddfd5d4774,8650,3,781,Brazil,3501,Philippe Coutinho Correia,2,91,46,Regular Play,Blocked,0.047560986,102.0,37.0
f78a1e10-1ee9-4a43-b114-e0f01961f7d3,8650,3,781,Brazil,4320,Neymar da Silva Santos Junior,2,93,14,From Free Kick,Saved,0.047588326,120.0,43.8
7faf5d88-7884-4de5-8ad5-e991c35d2a03,8650,3,781,Brazil,3535,Roberto Firmino Barbosa de Oliveira,2,93,46,From Corner,Off T,0.2641403,120.0,33.9
bef9880f-edb1-4273-b64a-60135723f2f8,7584,3,778,Japan,5684,Shinji Kagawa,1,0,54,From Throw In,Off T,0.038844906,120.0,45.4
0a08c24a-d38f-4544-b42a-8c9edffae0e6,7584,3,778,Japan,5682,Gen Shōji,1,9,14,From Free Kick,Off T,0.0054525062,120.0,46.7
23412d27-945f-4f7d-9289-35503286bc44,7584,3,782,Belgium,5642,Axel Witsel,1,15,13,Regular Play,Blocked,0.02329228,98.0,34.0
1f94bca6-77e7-47e2-b5c6-2e0daf9d8713,7584,3,782,Belgium,3101,Vincent Kompany,1,15,58,From Corner,Wayward,0.038868416,114.0,46.0
5ac1258d-aeda-45f2-b54a-254a3cc1d138,7584,3,782,Belgium,3289,Romelu Lukaku Menama,1,16,33,From Corner,Blocked,0.068028904,106.0,40.0
97295482-13b7-4615-8c24-e08245d8dd96,7584,3,782,Belgium,3101,Vincent Kompany,1,17,16,From Corner,Wayward,0.062155474,113.0,50.0
8ef4c51d-fceb-491f-8230-a68473b1a281,7584,3,782,Belgium,3101,Vincent Kompany,1,17,17,From Corner,Off T,0.09683723,120.0,47.1
3aeca2fe-fbdd-4ef2-98e8-d8ed0f728cc7,7584,3,782,Belgium,3289,Romelu Lukaku Menama,1,20,10,From Throw In,Blocked,0.053347003,103.0,50.0
4c7fa9c2-dfcd-411f-b9c4-f62a7aaa80da,7584,3,782,Belgium,3289,Romelu Lukaku Menama,1,24,53,Regular Play,Wayward,0.29904982,116.0,40.0
12075fef-c8d7-4edf-b8d8-ff57edf0b33d,7584,3,782,Belgium,3089,Kevin De Bruyne,1,26,5,Regular Play,Blocked,0.074351706,110.0,40.0
e21e3881-bb77-4c1a-bdab-d4968b439832,7584,3,782,Belgium,3621,Eden Hazard,1,26,32,Regular Play,Saved,0.038630188,118.0,38.7
221fc074-9c90-4ede-b7f2-5e56fe6e0012,7584,3,782,Belgium,3101,Vincent Kompany,1,27,26,Regular Play,Wayward,0.37606573,117.0,37.0
ed3694ee-ca8d-48e0-94cb-12cf88d5ca92,7584,3,778,Japan,5687,Takashi Inui,1,30,31,From Throw In,Saved,0.09179325,118.0,42.0
a71944da-c48b-41b1-9bc8-c9db17db72c3,7584,3,782,Belgium,3621,Eden Hazard,1,35,35,Regular Play,Blocked,0.15255512,106.0,34.0
544a1850-53d6-4fdd-9fd9-546b78d8eb94,7584,3,782,Belgium,5642,Axel Witsel,1,35,43,Regular Play,Off T,0.02434906,120.0,43.6
d0402e1c-19f1-480d-a02c-37163b468c00,7584,3,778,Japan,5690,Yuto Nagatomo,1,43,49,Regular Play,Blocked,0.0644201,114.0,34.0
d408f768-74b0-4959-820f-47e37a077f4c,7584,3,778,Japan,5697,Genki Haraguchi,2,47,19,From Counter,Goal,0.07330411,120.0,36.4
152e4994-9b0c-418b-acb3-3581f44f7392,7584,3,782,Belgium,3621,Eden Hazard,2,48,48,Regular Play,Post,0.10597108,120.0,44.4
89cf6138-5b1e-4922-9201-e369615bdacd,7584,3,782,Belgium,3621,Eden Hazard,2,48,49,Regular Play,Wayward,0.09700912,106.0,30.0
f8c6db52-fd2d-4629-b36b-6f33b3e95e10,7584,3,778,Japan,5687,Takashi Inui,2,51,34,From Keeper,Goal,0.024892166,120.0,44.0
34d9edce-9dd8-4552-aaf6-7e8218407116,7584,3,782,Belgium,5633,Yannick Ferreira Carrasco,2,56,5,Regular Play,Off T,0.03521874,120.0,47.1
495ddbee-ae51-4c66-9e6c-c9c59ca86129,7584,3,778,Japan,5693,Gaku Shibasaki,2,58,40,Regular Play,Blocked,0.05377961,108.0,45.0
450f1c03-3926-442a-b622-037379c86922,7584,3,782,Belgium,3289,Romelu Lukaku Menama,2,61,44,Regular Play,Off T,0.15798207,120.0,35.0
1002e854-79ab-4c95-9d9f-1f6174442d28,7584,3,778,Japan,5697,Genki Haraguchi,2,63,58,Regular Play,Off T,0.10102822,120.0,48.1
c15b17d6-debe-41f6-bd86-26615a3076a3,7584,3,782,Belgium,3176,Thomas Meunier,2,65,6,Regular Play,Off T,0.03213666,120.0,43.6
f17318f9-cf02-41c7-9837-8b1a43df5b57,7584,3,782,Belgium,3289,Romelu Lukaku Menama,2,67,59,Regular Play,Blocked,0.1751244,113.0,44.0
e087f89e-17b5-4c7f-bab0-bbc90e1608ae,7584,3,782,Belgium,3077,Jan Vertonghen,2,68,53,From Corner,Goal,0.011378314,120.0,43.8
6d6f4920-28be-42d9-8a2d-b685e8f669f6,7584,3,782,Belgium,3089,Kevin De Bruyne,2,72,17,Regular Play,Blocked,0.062116995,107.0,44.0
7b60005e-2795-4d81-b5fe-7601ee284256,7584,3,782,Belgium,3296,Marouane Fellaini-Bakkioui,2,73,23,From Corner,Goal,0.1826466,120.0,41.5
33da7635-b878-4a95-984c-d553dbba0e6c,7584,3,778,Japan,5687,Takashi Inui,2,74,52,Regular Play,Blocked,0.09275014,112.0,32.0
99451272-d349-4d9c-a259-97b6c2042ff2,7584,3,778,Japan,5690,Yuto Nagatomo,2,74,55,Regular Play,Wayward,0.012124663,112.0,53.0
49f2d31e-4708-4d94-ad84-af8a6ba95db4,7584,3,782,Belgium,3289,Romelu Lukaku Menama,2,77,51,Regular Play,Off T,0.11867756,120.0,33.5
6345cb72-58d4-4909-bf60-806eac7d921b,7584,3,782,Belgium,3101,Vincent Kompany,2,79,40,From Corner,Wayward,0.0088148285,119.0,36.0
2dadb595-5c85-4521-8104-da34531316d0,7584,3,778,Japan,5683,Keisuke Honda,2,83,8,Regular Play,Blocked,0.12930113,116.0,31.0
765a6160-6ca5-40b3-8850-e268d49c7ca2,7584,3,782,Belgium,4831,Nacer Chadli,2,85,2,From Throw In,Saved,0.12926859,120.0,37.0
fbb23c0b-1204-4ac0-9c4d-af0fd07a3857,7584,3,782,Belgium,3289,Romelu Lukaku Menama,2,85,7,From Throw In,Saved,0.20452708,120.0,39.1
8255c6b5-f326-4acb-a51c-049416bf6272,7584,3,782,Belgium,3176,Thomas Meunier,2,85,34,From Corner,Off T,0.006299751,120.0,33.9
ed41c55b-e281-4ff9-a459-06160e9433d8,7584,3,782,Belgium,3077,Jan Vertonghen,2,86,36,Regular Play,Saved,0.02341678,119.0,38.1
0f2c7245-82ff-4453-a30b-d6bbb29beb33,7584,3,778,Japan,5683,Keisuke Honda,2,92,59,From Free Kick,Saved,0.006078651,120.0,36.6
a604f9d5-1dfd-44c4-8fb7-94f80cd9da0d,7584,3,782,Belgium,4831,Nacer Chadli,2,93,44,From Keeper,Goal,0.25971222,120.0,37.4
40fba0d5-4c68-4eb6-aca7-51f837f79495,7554,3,798,Panama,5637,Edgar Yoel Bárcenas Herrera,1,3,46,From Free Kick,Off T,0.0063411808,120.0,40.3
2e695ec9-89ed-4c3b-af45-a013e031490f,7554,3,798,Panama,5646,Aníbal Cesis Godoy,1,4,17,Regular Play,Off T,0.10595282,120.0,34.4
63becae5-233c-4077-afc4-b840991c13c1,7554,3,768,England,3244,John Stones,1,7,48,From Corner,Goal,0.1349147,120.0,37.2
4ffec370-1a6f-440c-bdb7-eb9badbf45dc,7554,3,798,Panama,5637,Edgar Yoel Bárcenas Herrera,1,15,12,From Free Kick,Off T,0.034921248,120.0,35.2
4b8bad04-11a8-4517-ab24-922461fdf387,7554,3,768,England,10955,Harry Kane,1,21,35,Other,Goal,0.7835,120.0,36.6
77704599-d070-4b4d-ada7-d9097e7a4a00,7554,3,768,England,3293,Jesse Lingard,1,35,9,Regular Play,Goal,0.056802925,120.0,43.8
987546fc-b15d-4364-9d3d-0b61d66b5101,7554,3,768,England,3233,Raheem Sterling,1,39,13,From Free Kick,Saved,0.43374035,120.0,40.5
d9cd0d1f-671c-4439-89fe-4aa496d4e4b7,7554,3,768,England,3244,John Stones,1,39,14,From Free Kick,Goal,0.5670492,120.0,37.2
a4222b90-495c-461c-b42b-130e7fee4894,7554,3,768,England,3293,Jesse Lingard,1,41,55,From Throw In,Blocked,0.090631545,104.0,41.0
0c03bd8b-c802-43bc-b710-21b9e7db896e,7554,3,768,England,10955,Harry Kane,1,45,16,Other,Goal,0.7835,120.0,37.8
386917fe-2f41-41cf-975b-e3be32263343,7554,3,768,England,3504,Ruben Loftus-Cheek,2,61,5,Regular Play,Blocked,0.03459167,104.0,50.0
c96b3f7e-7ce1-4985-ae31-a764d6df38c0,7554,3,768,England,10955,Harry Kane,2,61,5,Regular Play,Goal,0.20022032,120.0,39.7
38191afc-23d1-4faf-a76d-0228fdda2f3d,7554,3,798,Panama,5641,Michael Amir Murillo Bermudez,2,65,25,Regular Play,Saved,0.13047156,116.0,44.0
280386dd-0a40-4b41-aaf4-5a94af801bbb,7554,3,768,England,3532,Jordan Brian Henderson,2,72,32,From Free Kick,Off T,0.061970674,120.0,35.0
24a07d80-c164-4f61-80a2-3409d998a0a2,7554,3,798,Panama,5635,Román Aureliano Torres Morcillo,2,75,31,From Corner,Off T,0.55906206,120.0,34.8
5c5e3ebd-c9e9-4a78-83fa-1d98768b01b7,7554,3,798,Panama,6139,Felipe Abdiel Baloy Ramírez,2,77,16,From Free Kick,Goal,0.17428838,120.0,43.6
60d1a01c-d944-4890-84e8-deb390988e58,7554,3,768,England,3233,Raheem Sterling,2,81,16,Regular Play,Off T,0.021399647,120.0,45.4
e5647ad4-6bf2-49ef-9acc-fc1786a7bb96,7554,3,798,Panama,5631,Blas Antonio Miguel Pérez Ortega,2,93,47,From Throw In,Blocked,0.059005667,107.0,40.0
97cb590e-5dd7-4ed1-9602-123e316ca663,7554,3,798,Panama,5628,José Luis Rodríguez Francis,2,94,2,From Throw In,Off T,0.009995836,120.0,45.8
48c8fb58-92f7-43c3-9225-72262260dcf9,7539,3,787,Senegal,5664,Salif Sané,1,12,35,From Free Kick,Off T,0.009712145,120.0,34.6
9eb8a3fa-c069-4844-9faf-c8e0c57debab,7539,3,789,Poland,5660,Piotr Zieliński,1,19,10,From Throw In,Wayward,0.029653154,112.0,49.0
7643d792-06f1-4db8-96e5-211bdd784d75,7539,3,789,Poland,5667,Kamil Grosicki,1,19,11,From Throw In,Off T,0.24497952,120.0,43.2
2769323c-e716-4433-8eb9-f70a1da56967,7539,3,789,Poland,5668,Robert Lewandowski,1,22,42,From Throw In,Off T,0.055568192,120.0,47.1
466b3b30-f527-430b-b18e-a9074bb87dfc,7539,3,787,Senegal,3436,Idrissa Gana Gueye,1,36,55,Regular Play,Blocked,0.039492566,107.0,43.0
b4465e0b-69cf-4ab2-843c-ab6975370bb0,7539,3,787,Senegal,5664,Salif Sané,1,41,37,From Corner,Off T,0.14218889,120.0,45.8
0e9a840a-1e1c-4afe-9177-76f9441ba888,7539,3,787,Senegal,3436,Idrissa Gana Gueye,1,46,7,Regular Play,Blocked,0.015028189,102.0,60.0
8ae94ee1-dfd2-4922-b864-9bf906ee0929,7539,3,789,Poland,5668,Robert Lewandowski,2,50,0,From Free Kick,Saved,0.07070428,120.0,43.4
6de0bc33-b91c-45ef-8eeb-0dd0f1b7a913,7539,3,787,Senegal,3629,Sadio Mané,2,51,17,Regular Play,Blocked,0.13267757,112.0,34.0
8c9e9810-4f89-48a6-8064-08f0bacd2e2f,7539,3,787,Senegal,3603,Mame Biram Diouf,2,53,16,From Throw In,Wayward,0.097462624,98.0,21.0
47f4fc12-bdbf-42f0-90fd-eb9b5a77edb3,7539,3,789,Poland,5658,Łukasz Piszczek,2,55,30,Regular Play,Off T,0.04273148,120.0,45.4
519468ed-9a79-41cb-aedc-9d0c9da5c544,7539,3,787,Senegal,5661,M'Baye Babacar Niang,2,59,58,Regular Play,Goal,0.99118865,120.0,39.9
1ed58cad-d708-45cd-8567-901a556f78bc,7539,3,789,Poland,5667,Kamil Grosicki,2,66,18,From Throw In,Blocked,0.035614714,93.0,41.0
7a506e41-6158-4f5e-b287-22b1b2a2951a,7539,3,789,Poland,5665,Arkadiusz Milik,2,69,36,From Throw In,Off T,0.12166226,120.0,45.0
e5f22ec5-f770-42e2-95b4-8c9024a1e70f,7539,3,789,Poland,5666,Dawid Kownacki,2,78,23,Regular Play,Saved,0.05977887,120.0,44.0
d68d9390-2718-4e26-9141-2d51908a972b,7539,3,789,Poland,3637,Grzegorz Krychowiak,2,85,41,From Free Kick,Goal,0.36511415,120.0,43.8
2e203661-1cd9-434c-817f-e36620ab73eb,7539,3,789,Poland,5667,Kamil Grosicki,2,91,14,From Counter,Wayward,0.016516764,120.0,50.0
cb91b82c-4b3f-4265-83e2-346ee75a1173,7550,3,773,Switzerland,3500,Granit Xhaka,1,3,18,Regular Play,Off T,0.0065200645,120.0,34.6
b2fe1af0-d6eb-4565-8076-c83c13478af8,7550,3,786,Serbia,4269,Aleksandar Mitrović,1,4,14,From Goal Kick,Saved,0.24064535,119.0,42.2
2b7e210d-230a-4a90-984e-950702b9a66d,7550,3,786,Serbia,5591,Filip Kostić,1,4,19,From Goal Kick,Wayward,0.08914139,109.0,46.0
52f329ab-7d1c-49ce-a684-3ca08f6c8de1,7550,3,786,Serbia,4269,Aleksandar Mitrović,1,4,48,From Throw In,Goal,0.2980266,120.0,37.2
fb111a67-7e61-4bf7-95e8-21aa679c7a5e,7550,3,773,Switzerland,3533,Xherdan Shaqiri,1,8,7,From Corner,Blocked,0.007398513,103.0,51.0
65e0d4e4-f51f-4f41-8736-9522f222a19c,7550,3,773,Switzerland,5554,Blerim Džemaili,1,9,51,From Free Kick,Off T,0.15404725,120.0,45.8
89043b16-2a05-44bc-808a-0686bda99170,7550,3,786,Serbia,4269,Aleksandar Mitrović,1,13,13,From Throw In,Off T,0.06612923,120.0,44.4
01ab6025-a981-4412-8ad4-7dfe6d6f9a43,7550,3,786,Serbia,5589,Sergej Milinković-Savić,1,15,17,From Free Kick,Off T,0.035976026,120.0,34.4
5808a123-4ecc-41a5-b93f-e9ca78a2ccdb,7550,3,786,Serbia,4269,Aleksandar Mitrović,1,18,31,From Free Kick,Off T,0.0383034,120.0,34.2
05e10e30-64ef-4578-bf37-31d2830f405e,7550,3,773,Switzerland,3533,Xherdan Shaqiri,1,22,26,From Throw In,Blocked,0.041592665,102.0,40.0
df90c604-0b10-4e63-9484-1ab199f268d5,7550,3,773,Switzerland,5541,Stephan Lichtsteiner,1,22,30,From Throw In,Blocked,0.025827019,102.0,49.0
68fdfd30-187c-47fe-9a6e-64571c8ff801,7550,3,773,Switzerland,5549,Manuel Obafemi Akanji,1,25,23,From Corner,Off T,0.090298526,120.0,34.4
be76650a-eff8-4872-9d97-cdd390af4509,7550,3,773,Switzerland,5554,Blerim Džemaili,1,29,34,Regular Play,Saved,0.24026676,117.0,38.5
20069179-a3c7-49ff-9549-f1f3990bff16,7550,3,773,Switzerland,5537,Fabian Lukas Schär,1,30,7,From Corner,Off T,0.0712261,120.0,36.6
848a5b48-c564-4eb6-8914-262b9682c91f,7550,3,786,Serbia,3831,Dušan Tadić,1,36,33,From Free Kick,Saved,0.03371678,119.0,37.4
060ff663-9afd-42e0-88eb-e4fa09d088ed,7550,3,786,Serbia,4269,Aleksandar Mitrović,1,41,58,From Throw In,Off T,0.063381545,120.0,43.8
7df08b2b-06c0-4a9d-bbda-17abf459e886,7550,3,786,Serbia,3381,Nemanja Matić,1,43,4,From Corner,Off T,0.07350789,120.0,34.8
b199ede7-255d-4f98-a984-968c84a3a934,7550,3,786,Serbia,3831,Dušan Tadić,1,45,42,From Free Kick,Off T,0.05983005,120.0,45.8
2abad6d6-1467-4c0b-a98d-3a8a6ed8e30e,7550,3,773,Switzerland,5544,Ricardo Iván Rodríguez Araya,2,49,24,From Throw In,Wayward,0.00962483,118.0,80.0
53512898-452e-4d7f-97cb-86606ca7ec6b,7550,3,786,Serbia,4269,Aleksandar Mitrović,2,51,28,From Corner,Off T,0.10194914,120.0,44.0
adb79570-bb07-4db8-aa4b-69c2dc986008,7550,3,773,Switzerland,3533,Xherdan Shaqiri,2,51,51,Regular Play,Blocked,0.057581827,108.0,52.0
29c94885-1414-4ddd-a8a3-1e12cde0dac3,7550,3,773,Switzerland,3500,Granit Xhaka,2,51,55,Regular Play,Goal,0.009642546,120.0,41.9
65c5105f-d8f5-4675-a366-bcfc5aaf815c,7550,3,773,Switzerland,3533,Xherdan Shaqiri,2,57,33,Regular Play,Post,0.010486914,119.0,35.8
e87f921f-36d8-4cef-a151-d1796819ee8b,7550,3,786,Serbia,5587,Adem Ljajić,2,76,25,From Free Kick,Blocked,0.052877877,107.0,31.0
ca45ddea-fc27-4bb6-bc2a-e23a45f41b34,7550,3,773,Switzerland,5545,Breel-Donald Embolo,2,81,32,Regular Play,Saved,0.027681582,118.0,43.4
f98c861c-aa01-44d2-b9b9-f04acbd76263,7550,3,773,Switzerland,3533,Xherdan Shaqiri,2,82,39,From Corner,Off T,0.018171605,120.0,40.7
e700dc59-0d2d-4fe7-931c-79af1df88dbb,7550,3,773,Switzerland,5834,Mario Gavranović,2,83,18,Regular Play,Saved,0.22874036,117.0,42.8
c442d5a4-574b-4faa-a169-adbc666567b7,7550,3,773,Switzerland,5544,Ricardo Iván Rodríguez Araya,2,85,14,From Free Kick,Blocked,0.05241076,103.0,32.0
384207c1-81a0-4d88-a3b9-b169bba34282,7550,3,773,Switzerland,5549,Manuel Obafemi Akanji,2,85,41,From Corner,Blocked,0.08491014,110.0,35.0
65b7fb3b-d069-4cc6-b8ee-575e20ebb598,7550,3,773,Switzerland,3533,Xherdan Shaqiri,2,89,37,From Counter,Goal,0.36896914,120.0,43.8
55f7eb8c-c9a3-4f92-a102-01d08d1c8eb6,7550,3,773,Switzerland,3533,Xherdan Shaqiri,2,95,29,From Counter,Off T,0.051912088,120.0,35.2
3db85fc5-f528-41eb-a3d2-08507d2c4094,7538,3,790,Sweden,5612,Mikael Lustig,1,12,58,From Free Kick,Blocked,0.0075467415,91.0,52.0
84e3dbf3-861b-4d65-b593-840959d5a2ef,7538,3,790,Sweden,11098,Marcus Berg,1,19,59,From Throw In,Saved,0.48333976,118.0,38.3
a57c4469-c2c5-43b9-a9cb-486122ef4c8d,7538,3,790,Sweden,4709,Pontus Jansson,1,20,48,From Corner,Off T,0.08360676,120.0,45.6
33aa0218-de67-4ddc-ba8a-ba3c2448451b,7538,3,790,Sweden,5607,Andreas Granqvist,1,28,11,From Corner,Blocked,0.08389724,112.0,34.0
8a5437fe-3776-484e-a6a0-9db696fdbd3f,7538,3,790,Sweden,11098,Marcus Berg,1,28,12,From Corner,Blocked,0.09769604,115.0,36.0
7b7a3591-4f0c-46de-a29a-5bd5391b5e8b,7538,3,791,South Korea,5623,Jae-Sung Lee,1,36,42,From Counter,Blocked,0.041962028,107.0,54.0
