player_id,player_name,primary_team,n_matches_played,total_minutes_played,sub_cluster_id
7054,Manuel Pucciarelli,Empoli,38,3156.0,0
5487,Antoine Griezmann,Atlético Madrid,38,3112.0,0
3347,André Ayew Pelé,Swansea City,34,3005.0,0
8272,Cyril Théréau,Udinese,36,2982.0,0
20039,Anthony Martial,Manchester United,31,2741.0,0
24235,Federico Dionisi,Frosinone,32,2523.0,0
5474,Ivan Perišić,Inter Milan,34,2511.0,0
7000,Eder Citadin Martins,Sampdoria,33,2466.0,0
3450,Jordan Ayew,Aston Villa,30,2450.0,0
6391,Raúl García Escudero,Athletic Club,31,2445.0,0
26009,Roberto Soldado Rillo,Villarreal,28,2303.0,0
7457,Gregoire Defrel,Sassuolo,33,2115.0,0
8419,Duje Čop,Málaga,31,2074.0,0
6766,Gerard Moreno Balaguero,Espanyol,32,1978.0,0
3346,Joshua King,AFC Bournemouth,31,1965.0,0
7171,Fabio Borini,Sunderland,26,1953.0,0
386651,Juan Ignacio Gómez Taleb,Hellas Verona,33,1929.0,0
4630,Saido Berahino,West Bromwich Albion,31,1834.0,0
6334,Luis Fernando Muriel Fruto,Sampdoria,32,1757.0,0
6847,Adalberto Peñaranda Maestre,Granada,23,1705.0,0
11643,Riccardo Meggiorini,Chievo,26,1683.0,0
7696,Ryder Matos Santos,Carpi,26,1672.0,0
11117,Scott Sinclair,Aston Villa,27,1668.0,0
6393,Iñaki Williams Arthuer,Athletic Club,25,1638.0,0
6594,Santiago Mina Lorenzo,Valencia,26,1617.0,0
3953,Aaron Lennon,Everton,25,1614.0,0
7141,Giuseppe Rossi,Levante UD,28,1574.0,0
11502,Antonio Di Gaudio,Carpi,29,1573.0,0
6685,Mikel Oyarzabal Ugarte,Real Sociedad,22,1552.0,0
3477,Álvaro Borja Morata Martín,Juventus,34,1525.0,0
26696,Arouna Koné,Everton,25,1515.0,0
3668,Theo Walcott,Arsenal,28,1430.0,0
9528,Steven Naismith,Norwich City,23,1364.0,0
27110,Antonio Floro Flores,Sassuolo,28,1328.0,0
6761,Leonardo Carrilho Baptistão,Villarreal,26,1325.0,0
23785,Théo Bongonda Mbul''Ofeko Batombo,Celta Vigo,23,1235.0,0
6666,Sabin Merino Zuloaga,Athletic Club,22,1168.0,0
3083,Heung-Min Son,Tottenham Hotspur,28,1166.0,0
3265,José Luis Sanmartín Mato,Stoke City,22,1164.0,0
5661,M''Baye Babacar Niang,AC Milan,16,1155.0,0
6602,Miguel Ángel Guerrero Martín,Sporting Gijón,23,1122.0,0
15818,Gervais Lombe Yao Kouassi,AS Roma,14,1108.0,0
30289,Papiss Demba Cissé,Newcastle United,21,1104.0,0
3671,José Leonardo Ulloa,Leicester City,29,1078.0,0
28559,Enner Remberto Valencia Lastra,West Ham United,19,1070.0,0
27250,Nabil Ghilas,Levante UD,20,1059.0,0
4831,Nacer Chadli,Tottenham Hotspur,29,1041.0,0
26020,Ángel Lafita Castillo,Getafe,14,1031.0,0
23791,Víctor Casadesús Castaño,Levante UD,23,1013.0,0
22281,Duncan Watmore,Sunderland,23,1000.0,0
6744,Luciano Vietto,Atlético Madrid,19,984.0,0
26442,Boško Janković,Hellas Verona,15,922.0,0
