player_id,player_name,primary_team,n_matches_played,total_minutes_played,sub_cluster_id
6832,Rubén Castro Martín,Real Betis,38,3481.0,1
3454,Troy Deeney,Watford,38,3439.0,1
5458,Odion Jude Ighalo,Watford,37,3271.0,1
10960,Jamie Vardy,Leicester City,36,3253.0,1
5688,Carlos Arturo Bacca Ahumada,AC Milan,38,3252.0,1
6707,Charles Días Barbosa de Oliveira,Málaga,35,3092.0,1
13613,Daniel Ciofani,Frosinone,37,2999.0,1
6394,Aritz Aduriz Zubeldia,Athletic Club,34,2866.0,1
40252,Massimo Maccarone,Empoli,37,2814.0,1
7033,Nikola Kalinić,Fiorentina,36,2692.0,1
7471,Andrea Belotti,Torino,35,2683.0,1
7011,Fabio Quagliarella,Torino,32,2670.0,1
3337,Jermain Defoe,Sunderland,33,2667.0,1
6987,Mauro Emanuel Icardi Rivero,Inter Milan,33,2656.0,1
6566,Borja González Tomás,Eibar,36,2642.0,1
4041,José Salomón Rondón Giménez,West Bromwich Albion,34,2634.0,1
27109,Youssef El-Arabi,Granada,35,2604.0,1
6402,Francisco Alcácer García,Valencia,34,2504.0,1
6700,Sergio Enrich Ametller,Eibar,38,2498.0,1
38389,Alberto Gilardino,Palermo,33,2418.0,1
6950,Alberto Paloschi,Chievo,31,2404.0,1
6880,Arnaldo Antonio Sanabria Ayala,Sporting Gijón,29,2298.0,1
25134,Deyverson Brum Silva Acosta,Levante UD,33,2228.0,1
4269,Aleksandar Mitrović,Newcastle United,34,2216.0,1
8103,Mattia Destro,Bologna,27,2215.0,1
3842,Shane Long,Southampton,28,2210.0,1
7781,Felipe Salvador Caicedo Corozo,Espanyol,31,2189.0,1
6401,Kevin Gameiro,Sevilla,31,2152.0,1
11542,Javier Guerra Rodríguez,Rayo Vallecano,30,2150.0,1
3810,Shinji Okazaki,Leicester City,36,2104.0,1
5472,Mario Mandžukić,Juventus,27,2095.0,1
6973,Edin Džeko,AS Roma,31,2058.0,1
24035,Álvaro Vázquez García,Getafe,34,2040.0,1
6686,Giampaolo Pazzini,Hellas Verona,30,2001.0,1
8180,Leonardo Pavoletti,Genoa,25,1976.0,1
6862,Cédric Bakambu,Villarreal,34,1924.0,1
23416,Stefan Šćepović,Getafe,34,1902.0,1
8167,Sergio Ezequiel Araújo,Las Palmas,30,1893.0,1
4807,Cameron Jerome,Norwich City,34,1859.0,1
20252,Luca Toni,Hellas Verona,23,1841.0,1
3670,Jonathan Walters,Stoke City,27,1821.0,1
6721,Willian José da Silva,Las Palmas,30,1809.0,1
20521,Bafétimbi Gomis,Swansea City,33,1806.0,1
19362,Rudy Gestede,Aston Villa,32,1799.0,1
3497,Vicente Iborra De La Fuente,Sevilla,29,1778.0,1
6382,Fernando José Torres Sanz,Atlético Madrid,30,1751.0,1
32608,Jerry Uche Mbakogu,Carpi,24,1739.0,1
23663,Dieumerci Mbokani Bezua,Norwich City,29,1697.0,1
8584,Jonathas Cristian de Jesus,Real Sociedad,27,1671.0,1
8871,Marco Borriello,Atalanta,27,1667.0,1
7793,Kevin Lasagna,Carpi,36,1630.0,1
6948,Sergio Floccari,Bologna,25,1629.0,1
26685,Nicolás Ladislao Fedor Flores,Rayo Vallecano,22,1590.0,1
7017,Duván Esteban Zapata Banguera,Udinese,25,1589.0,1
3962,Diafra Sakho,West Ham United,21,1567.0,1
4271,Andy Carroll,West Ham United,27,1531.0,1
7043,Roberto Inglese,Chievo,26,1446.0,1
19286,Miroslav Klose,Lazio,24,1414.0,1
36770,Mauricio Ricardo Pinilla Ferreira,Atalanta,20,1384.0,1
7788,Ciro Immobile,Torino,22,1370.0,1
20641,Connor Wickham,Crystal Palace,21,1366.0,1
3603,Mame Biram Diouf,Stoke City,26,1360.0,1
11427,Filip Đorđević,Lazio,27,1356.0,1
6038,John Guidetti,Celta Vigo,35,1330.0,1
3598,Wilfried Guemiand Bony,Manchester City,26,1291.0,1
21272,Luiz Adriano de Souza da Silva,AC Milan,26,1262.0,1
20542,Álvaro Negredo Sánchez,Valencia,25,1215.0,1
3486,Fernando Llorente Torres,Sevilla,24,1205.0,1
19846,Antonio Di Natale,Udinese,23,1202.0,1
8193,Maximiliano Gastón López,Torino,26,1184.0,1
8093,Diego Falcinelli,Sassuolo,26,1183.0,1
24173,Carlos Castro García,Sporting Gijón,25,1071.0,1
42699,Gabriel Imuetinyan Agbonlahor,Aston Villa,15,1062.0,1
9554,Steven Fletcher,Sunderland,16,1038.0,1
26690,Alberto Mateus Contreiras Gonçalves,Rayo Vallecano,28,1032.0,1
49439,Germán Gustavo Denis,Atalanta,15,1015.0,1
8644,Sergio Pellissier,Chievo,19,995.0,1
12619,Josef Alexander Martínez Mencia,Torino,21,983.0,1
6630,Jorge Molina Vidal,Real Betis,23,963.0,1
15415,Matteo Mancosu,Carpi,21,954.0,1
3278,Benik Afobe,AFC Bournemouth,15,953.0,1
3556,Serge Gakpé,Genoa,18,913.0,1
