player_id,player_name,primary_team,n_matches_played,total_minutes_played,sub_cluster_id
10955,Harry Kane,Tottenham Hotspur,38,3473.0,2
3289,Romelu Lukaku Menama,Everton,37,3290.0,2
5207,Cristiano Ronaldo dos Santos Aveiro,Real Madrid,36,3274.0,2
6732,Lucas Pérez Martínez,RC Deportivo La Coruña,36,3233.0,2
5246,Luis Alberto Suárez Díaz,Barcelona,35,3233.0,2
5497,Gonzalo Gerardo Higuaín,Napoli,35,3031.0,2
3531,Mohamed Salah,AS Roma,34,2773.0,2
5217,Iago Aspas Juncal,Celta Vigo,35,2717.0,2
3604,Olivier Giroud,Arsenal,38,2541.0,2
5198,Diego da Silva Costa,Chelsea,28,2468.0,2
3237,Sergio Leonel Agüero del Castillo,Manchester City,30,2412.0,2
11062,Graziano Pellè,Southampton,30,2286.0,2
19677,Karim Benzema,Real Madrid,27,2008.0,2
6399,Gareth Frank Bale,Real Madrid,23,1771.0,2
3380,Christian Benteke Liolo,Liverpool,29,1634.0,2
6979,Stephan El Shaarawy,AS Roma,16,1211.0,2
6677,Imanol Agirretxe Arruti,Real Sociedad,16,1197.0,2
3529,Daniel Andre Sturridge,Liverpool,14,1020.0,2
